#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MJ_419_00930	563040.Saut_1830	0.0	1209.0	COG0493@1|root,COG1894@1|root,COG0493@2|Bacteria,COG1894@2|Bacteria,1MU2H@1224|Proteobacteria,42M6X@68525|delta/epsilon subdivisions,2YM9W@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	C	COGs COG0493 NADPH-dependent glutamate synthase beta chain and related oxidoreductase	-	-	1.17.1.10	ko:K15022	ko00680,ko00720,ko01120,ko01200,map00680,map00720,map01120,map01200	M00377	R00134	RC02796	ko00000,ko00001,ko00002,ko01000	-	-	-	Fer4_20,NADH_4Fe-4S,Pyr_redox_2
MJ_419_00931	1172190.M947_04155	1.68e-37	126.0	2AITQ@1|root,319AS@2|Bacteria,1Q26T@1224|Proteobacteria,42V2V@68525|delta/epsilon subdivisions,2YQFN@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	S	putative NADH-ubiquinone oxidoreductase chain E	nuoE	-	1.6.5.3	ko:K00334	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	NADH-UOR_E
MJ_419_00932	326298.Suden_1826	8.76e-281	769.0	COG0649@1|root,COG0649@2|Bacteria,1MVIN@1224|Proteobacteria,42M9G@68525|delta/epsilon subdivisions,2YMSC@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoD	-	1.6.5.3	ko:K00333	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Complex1_49kDa
MJ_419_00933	326298.Suden_1827	1.3e-157	446.0	COG0852@1|root,COG0852@2|Bacteria,1MX4B@1224|Proteobacteria,42NAR@68525|delta/epsilon subdivisions,2YN6R@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain	nuoC	-	1.6.5.3	ko:K00332	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Complex1_30kDa
MJ_419_00934	563040.Saut_1834	1e-77	233.0	COG0377@1|root,COG0377@2|Bacteria,1MUI2@1224|Proteobacteria,42MDJ@68525|delta/epsilon subdivisions,2YMUT@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	C	NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient	nuoB	-	1.6.5.3	ko:K00331	ko00190,ko01100,map00190,map01100	M00144	R11945	RC00061	ko00000,ko00001,ko00002,ko01000	3.D.1	-	-	Oxidored_q6
MJ_419_00936	338966.Ppro_1870	3.91e-21	86.3	2EI3H@1|root,33BUY@2|Bacteria,1NHGK@1224|Proteobacteria,42WXR@68525|delta/epsilon subdivisions	1224|Proteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MJ_419_00937	709032.Sulku_1088	1.26e-101	305.0	COG1864@1|root,COG1864@2|Bacteria,1RADP@1224|Proteobacteria,42QUP@68525|delta/epsilon subdivisions	1224|Proteobacteria	F	DNA RNA non-specific endonuclease	nucA	-	-	ko:K01173	ko04210,map04210	-	-	-	ko00000,ko00001,ko03029	-	-	-	Endonuclease_NS
MJ_419_00939	537970.HCAN_1025	1.92e-11	69.7	COG4974@1|root,COG4974@2|Bacteria,1R440@1224|Proteobacteria,43AEK@68525|delta/epsilon subdivisions,2YT19@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	L	Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules	xerH	-	-	ko:K04763	-	-	-	-	ko00000,ko03036	-	-	-	Phage_integrase
MJ_419_00940	1244531.CIG1485E_a0057	1.27e-39	137.0	COG0741@1|root,COG0741@2|Bacteria,1MZU4@1224|Proteobacteria,42V1M@68525|delta/epsilon subdivisions,2YQF8@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	M	Transglycosylase SLT domain	-	-	-	-	-	-	-	-	-	-	-	-	SLT
MJ_419_00942	326298.Suden_0617	8.43e-40	160.0	COG0642@1|root,COG0784@1|root,COG0784@2|Bacteria,COG2205@2|Bacteria,1NRP8@1224|Proteobacteria,42Z31@68525|delta/epsilon subdivisions,2YRAR@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	T	Hpt sensor hybrid histidine kinase	-	-	-	-	-	-	-	-	-	-	-	-	HATPase_c,HisKA,Hpt,Response_reg
MJ_419_00943	1442598.JABW01000007_gene695	1.34e-250	724.0	COG4644@1|root,COG4644@2|Bacteria,1MUIU@1224|Proteobacteria,42ZDP@68525|delta/epsilon subdivisions	1224|Proteobacteria	L	Tn3 transposase DDE domain	-	-	-	-	-	-	-	-	-	-	-	-	DDE_Tnp_Tn3,DUF4158
MJ_419_00944	1442598.JABW01000007_gene702	7.82e-100	293.0	COG1961@1|root,COG1961@2|Bacteria,1MXXT@1224|Proteobacteria	1224|Proteobacteria	L	Site-specific recombinases DNA invertase Pin homologs	tniR	-	-	-	-	-	-	-	-	-	-	-	Resolvase
MJ_419_00945	1244531.CIG1485E_a0016	1.49e-132	387.0	COG4974@1|root,COG4974@2|Bacteria,1QSH9@1224|Proteobacteria,42TCV@68525|delta/epsilon subdivisions,2YQ0X@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	L	Phage integrase family	-	-	-	ko:K04763	-	-	-	-	ko00000,ko03036	-	-	-	Phage_int_SAM_1,Phage_integrase
MJ_419_00946	1244531.CIG1485E_a0021	1.02e-18	80.9	2AK3P@1|root,31ATG@2|Bacteria,1Q63K@1224|Proteobacteria,432BW@68525|delta/epsilon subdivisions,2YSQM@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MJ_419_00949	639282.DEFDS_P066	2.18e-26	112.0	COG4974@1|root,COG4974@2|Bacteria,2GGDP@200930|Deferribacteres	200930|Deferribacteres	L	Phage integrase family	-	-	-	ko:K04763	-	-	-	-	ko00000,ko03036	-	-	-	Phage_integrase
MJ_419_00954	326298.Suden_1400	1.11e-18	80.5	COG0848@1|root,COG0848@2|Bacteria,1MZ6M@1224|Proteobacteria,42U00@68525|delta/epsilon subdivisions,2YPZU@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	U	transport protein	tolR	-	-	ko:K03559	-	-	-	-	ko00000,ko02000	1.A.30.2.1	-	-	ExbD
MJ_419_00955	929558.SMGD1_2276	6.36e-37	137.0	COG0810@1|root,COG0810@2|Bacteria,1QAAM@1224|Proteobacteria,42X9R@68525|delta/epsilon subdivisions,2YQQ7@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	M	TonB C terminal	-	-	-	ko:K03832	-	-	-	-	ko00000,ko02000	2.C.1.1	-	-	TonB_2
MJ_419_00956	929558.SMGD1_2277	6e-176	504.0	COG0823@1|root,COG0823@2|Bacteria,1MV09@1224|Proteobacteria,42PHP@68525|delta/epsilon subdivisions,2YMQG@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	U	Involved in the TonB-independent uptake of proteins	tolB	-	-	ko:K03641	-	-	-	-	ko00000,ko02000	2.C.1.2	-	-	PD40,TolB_N
MJ_419_00957	1172190.M947_09090	1.21e-56	184.0	COG2885@1|root,COG2885@2|Bacteria,1MZTV@1224|Proteobacteria,42R5H@68525|delta/epsilon subdivisions,2YNYJ@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	M	Belongs to the ompA family	pal	-	-	ko:K03640	-	-	-	-	ko00000,ko02000	2.C.1.2	-	-	OmpA
MJ_419_00958	929558.SMGD1_2279	6.41e-39	146.0	COG1729@1|root,COG1729@2|Bacteria,1NG81@1224|Proteobacteria,42R1Z@68525|delta/epsilon subdivisions,2YNY7@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	S	repeat protein	ybgF	-	-	-	-	-	-	-	-	-	-	-	TPR_16,TPR_2,TPR_6
MJ_419_00959	1249480.B649_08250	9.5e-95	279.0	COG1047@1|root,COG1047@2|Bacteria,1RD35@1224|Proteobacteria,42MCS@68525|delta/epsilon subdivisions,2YP49@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	O	peptidyl-prolyl cis-trans isomerase	slyD	-	5.2.1.8	ko:K03775	-	-	-	-	ko00000,ko01000,ko03110	-	-	-	FKBP_C
MJ_419_00960	929558.SMGD1_2281	1.24e-93	282.0	COG2204@1|root,COG2204@2|Bacteria,1QASN@1224|Proteobacteria,42RV2@68525|delta/epsilon subdivisions,2YP76@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	K	COG2204 Response regulator containing CheY-like receiver, AAA-type ATPase, and DNA-binding domains	-	-	-	-	-	-	-	-	-	-	-	-	HTH_8,Sigma54_activ_2,Sigma54_activat
MJ_419_00961	1537917.JU82_04695	6.27e-159	452.0	COG0331@1|root,COG0331@2|Bacteria,1MV6N@1224|Proteobacteria,42MKH@68525|delta/epsilon subdivisions,2YMWK@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	I	malonyl coa-acyl carrier protein transacylase	fabD	-	2.3.1.39	ko:K00645	ko00061,ko00333,ko01100,ko01130,ko01212,map00061,map00333,map01100,map01130,map01212	M00082	R01626,R11671	RC00004,RC00039,RC02727	ko00000,ko00001,ko00002,ko01000,ko01004	-	-	-	Acyl_transf_1
MJ_419_00962	929558.SMGD1_2283	7.88e-92	277.0	COG0388@1|root,COG0388@2|Bacteria,1RIQI@1224|Proteobacteria,42T6J@68525|delta/epsilon subdivisions,2YP46@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	S	Nitrilase cyanide hydratase and apolipoprotein N-acyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	CN_hydrolase
MJ_419_00963	326298.Suden_1392	4.58e-129	370.0	COG0775@1|root,COG0775@2|Bacteria,1MY5S@1224|Proteobacteria,42MBG@68525|delta/epsilon subdivisions,2YMHE@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	E	Catalyzes the irreversible cleavage of the glycosidic bond in both 5'-methylthioadenosine (MTA) and S- adenosylhomocysteine (SAH AdoHcy) to adenine and the corresponding thioribose, 5'-methylthioribose and S-ribosylhomocysteine, respectively	pfs	-	3.2.2.30,3.2.2.9	ko:K18284	ko00130,ko00270,ko01100,ko01110,ko01230,map00130,map00270,map01100,map01110,map01230	M00034,M00609	R00194,R01401,R10668	RC00063,RC00318	ko00000,ko00001,ko00002,ko01000	-	-	-	PNP_UDP_1
MJ_419_00964	326298.Suden_1391	2.61e-144	410.0	COG0037@1|root,COG0037@2|Bacteria,1MW5Q@1224|Proteobacteria,42MMC@68525|delta/epsilon subdivisions,2YMS8@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	H	Belongs to the TtcA family	ttcA	-	-	ko:K14058	-	-	-	-	ko00000,ko03016	-	-	-	ATP_bind_3
MJ_419_00965	929558.SMGD1_2809	4.8e-185	530.0	COG1807@1|root,COG1807@2|Bacteria,1P6JE@1224|Proteobacteria,42QEZ@68525|delta/epsilon subdivisions,2YPIU@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	M	Dolichyl-phosphate-mannose-protein mannosyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	PMT_2
MJ_419_00966	1191523.MROS_2116	1.54e-40	156.0	COG0745@1|root,COG5002@1|root,COG0745@2|Bacteria,COG5002@2|Bacteria	2|Bacteria	T	protein histidine kinase activity	-	-	-	-	-	-	-	-	-	-	-	-	HATPase_c,HisKA,PAS_3,PAS_8,PAS_9,Response_reg
MJ_419_00967	1163617.SCD_n01831	1.35e-116	357.0	COG3437@1|root,COG3437@2|Bacteria,1QUN9@1224|Proteobacteria	1224|Proteobacteria	T	Response regulator containing a CheY-like receiver domain and an HD-GYP domain	-	-	-	-	-	-	-	-	-	-	-	-	DUF2892,HD,HD_5,PAS_9
MJ_419_00968	2340.JV46_17810	2.66e-154	498.0	COG5001@1|root,COG5001@2|Bacteria,1MU2C@1224|Proteobacteria,1RM8A@1236|Gammaproteobacteria,1J56I@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	T	(GGDEF) domain	-	-	-	-	-	-	-	-	-	-	-	-	EAL,GGDEF,PAS,PAS_3,PAS_4,PAS_8,PAS_9
MJ_419_00970	944546.ABED_1647	7.94e-79	246.0	COG1216@1|root,COG1216@2|Bacteria,1QV95@1224|Proteobacteria,42QIJ@68525|delta/epsilon subdivisions,2YQ78@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	S	involved in cell wall biogenesis	-	-	-	-	-	-	-	-	-	-	-	-	Glycos_transf_2
MJ_419_00971	387093.SUN_1947	8.55e-49	172.0	COG3307@1|root,COG3307@2|Bacteria,1N25I@1224|Proteobacteria,42RSJ@68525|delta/epsilon subdivisions,2YPDD@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	M	PFAM O-Antigen	-	-	-	ko:K02847	ko00540,ko01100,map00540,map01100	M00080	-	-	ko00000,ko00001,ko00002,ko01000,ko01005,ko02000	9.B.67.4,9.B.67.5	-	-	Wzy_C
MJ_419_00972	563040.Saut_1230	1.22e-51	165.0	2AV85@1|root,31KYU@2|Bacteria,1QITS@1224|Proteobacteria,42SB2@68525|delta/epsilon subdivisions,2YQ0M@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MJ_419_00973	929558.SMGD1_2755	1.99e-93	276.0	COG0503@1|root,COG0503@2|Bacteria,1MVZ6@1224|Proteobacteria,42QSH@68525|delta/epsilon subdivisions,2YNVB@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	F	Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis	apt	-	2.4.2.7	ko:K00759	ko00230,ko01100,map00230,map01100	-	R00190,R01229,R04378	RC00063	ko00000,ko00001,ko01000,ko04147	-	-	-	Pribosyltran
MJ_419_00974	563040.Saut_1232	5.74e-266	731.0	COG0133@1|root,COG0133@2|Bacteria,1MUS8@1224|Proteobacteria,42MIA@68525|delta/epsilon subdivisions,2YMH1@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	E	The beta subunit is responsible for the synthesis of L- tryptophan from indole and L-serine	trpB	-	4.2.1.20	ko:K01696	ko00260,ko00400,ko01100,ko01110,ko01130,ko01230,map00260,map00400,map01100,map01110,map01130,map01230	M00023	R00674,R02340,R02722	RC00209,RC00210,RC00700,RC00701,RC02868	ko00000,ko00001,ko00002,ko01000	-	-	-	PALP
MJ_419_00975	563040.Saut_0811	2.56e-128	368.0	COG2884@1|root,COG2884@2|Bacteria,1MVQ4@1224|Proteobacteria,42MAM@68525|delta/epsilon subdivisions,2YT9B@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	D	ABC transporter	ftsE	-	-	ko:K09812	ko02010,map02010	M00256	-	-	ko00000,ko00001,ko00002,ko02000,ko03036	3.A.1.140	-	-	ABC_tran
MJ_419_00976	326298.Suden_0787	3.2e-93	283.0	COG2177@1|root,COG2177@2|Bacteria,1R85B@1224|Proteobacteria,42PX3@68525|delta/epsilon subdivisions,2YNQW@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	D	Cell division protein FtsX	ftsX	-	-	ko:K09811	ko02010,map02010	M00256	-	-	ko00000,ko00001,ko00002,ko02000,ko03036	3.A.1.140	-	-	-
MJ_419_00977	563040.Saut_1194	1.1e-303	836.0	COG0173@1|root,COG0173@2|Bacteria,1MUXB@1224|Proteobacteria,42NC6@68525|delta/epsilon subdivisions,2YMJV@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	J	Aspartyl-tRNA synthetase with relaxed tRNA specificity since it is able to aspartylate not only its cognate tRNA(Asp) but also tRNA(Asn). Reaction proceeds in two steps L-aspartate is first activated by ATP to form Asp-AMP and then transferred to the acceptor end of tRNA(Asp Asn)	aspS	-	6.1.1.12	ko:K01876	ko00970,map00970	M00359,M00360	R05577	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029	-	-	-	GAD,tRNA-synt_2,tRNA_anti-codon
MJ_419_00978	944547.ABLL_0410	2.5e-125	358.0	COG0450@1|root,COG0450@2|Bacteria,1MWPY@1224|Proteobacteria,42MAJ@68525|delta/epsilon subdivisions,2YMW0@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	O	Alkyl hydroperoxide reductase	ahpC	-	1.11.1.15	ko:K03386	ko04214,map04214	-	-	-	ko00000,ko00001,ko01000,ko04147	-	-	-	1-cysPrx_C,AhpC-TSA
MJ_419_00979	1249480.B649_10180	1.98e-245	677.0	COG0192@1|root,COG0192@2|Bacteria,1MUFQ@1224|Proteobacteria,42MFM@68525|delta/epsilon subdivisions,2YMJU@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	H	Catalyzes the formation of S-adenosylmethionine (AdoMet) from methionine and ATP. The overall synthetic reaction is composed of two sequential steps, AdoMet formation and the subsequent tripolyphosphate hydrolysis which occurs prior to release of AdoMet from the enzyme	metK	-	2.5.1.6	ko:K00789	ko00270,ko01100,ko01110,ko01230,map00270,map01100,map01110,map01230	M00034,M00035,M00368,M00609	R00177,R04771	RC00021,RC01211	ko00000,ko00001,ko00002,ko01000	-	-	-	S-AdoMet_synt_C,S-AdoMet_synt_M,S-AdoMet_synt_N
MJ_419_00980	1165841.SULAR_06938	2.27e-65	200.0	COG1145@1|root,COG1145@2|Bacteria,1QZ2K@1224|Proteobacteria,42SFI@68525|delta/epsilon subdivisions,2YPQC@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	C	4Fe-4S dicluster domain	-	-	-	-	-	-	-	-	-	-	-	-	Fer4_7
MJ_419_00981	1249480.B649_06735	7.3e-127	366.0	COG2162@1|root,COG2162@2|Bacteria,1RDF3@1224|Proteobacteria,42UY1@68525|delta/epsilon subdivisions,2YSUK@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	Q	Belongs to the arylamine N-acetyltransferase family	-	-	2.3.1.118	ko:K00675	-	-	-	-	ko00000,ko01000	-	-	-	Acetyltransf_2
MJ_419_00982	944547.ABLL_2132	8e-33	117.0	COG3370@1|root,COG3370@2|Bacteria,1N27G@1224|Proteobacteria,42UAJ@68525|delta/epsilon subdivisions,2YPZ8@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	S	PFAM DsrE DsrF-like family	-	-	-	-	-	-	-	-	-	-	-	-	DrsE
MJ_419_00983	1415778.JQMM01000001_gene457	5.3e-14	67.4	2DNSN@1|root,32YXT@2|Bacteria,1PU1C@1224|Proteobacteria,1TB5X@1236|Gammaproteobacteria,1JBNP@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	S	Protein of unknown function (DUF2798)	-	-	-	-	-	-	-	-	-	-	-	-	DUF2798
MJ_419_00984	709032.Sulku_1794	3.93e-142	406.0	COG1119@1|root,COG1119@2|Bacteria,1MVVM@1224|Proteobacteria,42RN3@68525|delta/epsilon subdivisions,2YPXW@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	P	abc transporter atp-binding protein	-	-	3.6.3.34	ko:K02013	ko02010,map02010	M00240	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	3.A.1.14	-	-	ABC_tran
MJ_419_00986	1537917.JU82_09720	5.78e-139	401.0	COG3301@1|root,COG3301@2|Bacteria,1QSRQ@1224|Proteobacteria,42PAY@68525|delta/epsilon subdivisions,2YN5Q@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	P	Polysulphide reductase, NrfD	-	-	-	-	-	-	-	-	-	-	-	-	NrfD
MJ_419_00987	563040.Saut_1624	4.34e-153	429.0	COG0437@1|root,COG0437@2|Bacteria,1MU1B@1224|Proteobacteria,42M6H@68525|delta/epsilon subdivisions,2YNC6@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	C	4Fe-4S ferredoxin	-	-	-	-	-	-	-	-	-	-	-	-	Fer4_11,Fer4_4
MJ_419_00988	563040.Saut_1625	2.82e-258	714.0	COG0141@1|root,COG0141@2|Bacteria,1MUUF@1224|Proteobacteria,42M3R@68525|delta/epsilon subdivisions,2YN91@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	E	Catalyzes the sequential NAD-dependent oxidations of L- histidinol to L-histidinaldehyde and then to L-histidine	hisD	-	1.1.1.23	ko:K00013	ko00340,ko01100,ko01110,ko01230,map00340,map01100,map01110,map01230	M00026	R01158,R01163,R03012	RC00099,RC00242,RC00463	ko00000,ko00001,ko00002,ko01000	-	-	-	Histidinol_dh
MJ_419_00989	563040.Saut_1626	6.53e-40	138.0	COG1331@1|root,COG1331@2|Bacteria,1N55I@1224|Proteobacteria,42VTZ@68525|delta/epsilon subdivisions,2YQJ6@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	O	Highly conserved protein containing a thioredoxin domain	-	-	-	-	-	-	-	-	-	-	-	-	Thioredox_DsbH
MJ_419_00990	709032.Sulku_0637	1.3e-76	233.0	COG0703@1|root,COG0703@2|Bacteria,1MUFJ@1224|Proteobacteria,42RJW@68525|delta/epsilon subdivisions,2YP85@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	F	Catalyzes the specific phosphorylation of the 3-hydroxyl group of shikimic acid using ATP as a cosubstrate	aroK	-	2.7.1.71	ko:K00891	ko00400,ko01100,ko01110,ko01130,ko01230,map00400,map01100,map01110,map01130,map01230	M00022	R02412	RC00002,RC00078	ko00000,ko00001,ko00002,ko01000	-	-	-	SKI
MJ_419_00991	990073.ATHU01000002_gene36	7.2e-23	92.0	COG1917@1|root,COG1917@2|Bacteria,1MZNT@1224|Proteobacteria,42VFI@68525|delta/epsilon subdivisions,2YTGW@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	S	Cupin domain	-	-	-	ko:K11312	-	-	-	-	ko00000	-	-	-	Cupin_2
MJ_419_00992	709032.Sulku_0635	7.98e-179	520.0	COG0840@1|root,COG0840@2|Bacteria,1MU9B@1224|Proteobacteria,42P4R@68525|delta/epsilon subdivisions,2YM92@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	NT	chemotaxis protein	-	-	-	ko:K03406	ko02020,ko02030,map02020,map02030	-	-	-	ko00000,ko00001,ko02035	-	-	-	DUF3365,MCPsignal
MJ_419_00993	1537917.JU82_09765	1.27e-219	610.0	COG0191@1|root,COG0191@2|Bacteria,1MURX@1224|Proteobacteria,42MK7@68525|delta/epsilon subdivisions,2YMEQ@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	G	fructose-bisphosphate aldolase	fbaA	-	4.1.2.13	ko:K01624	ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00010,map00030,map00051,map00680,map00710,map01100,map01110,map01120,map01130,map01200,map01230	M00001,M00003,M00165,M00167,M00344,M00345	R01068,R01070,R01829,R02568	RC00438,RC00439,RC00603,RC00604	ko00000,ko00001,ko00002,ko01000	-	-	-	F_bP_aldolase
MJ_419_00994	563040.Saut_1675	8.46e-17	78.2	COG2515@1|root,COG2515@2|Bacteria,1R87T@1224|Proteobacteria,42MPC@68525|delta/epsilon subdivisions,2YN3K@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	E	1-aminocyclopropane-1-carboxylate deaminase	acd	-	3.5.99.7	ko:K01505	ko00270,map00270	-	R00997	RC00419	ko00000,ko00001,ko01000	-	-	-	-
MJ_419_00995	765914.ThisiDRAFT_2822	1.99e-98	298.0	COG5464@1|root,COG5464@2|Bacteria,1R1TM@1224|Proteobacteria,1T5AN@1236|Gammaproteobacteria,1X2W0@135613|Chromatiales	2|Bacteria	S	PD-(D/E)XK nuclease family transposase	-	-	-	-	-	-	-	-	-	-	-	-	PDDEXK_2
MJ_419_00996	1100720.ALKN01000036_gene855	3.72e-128	376.0	COG0582@1|root,COG0582@2|Bacteria,1N2H9@1224|Proteobacteria,2VII4@28216|Betaproteobacteria,4ACFF@80864|Comamonadaceae	28216|Betaproteobacteria	L	Belongs to the 'phage' integrase family	-	-	-	-	-	-	-	-	-	-	-	-	Arm-DNA-bind_3,Phage_int_SAM_3,Phage_integrase
MJ_419_00997	882378.RBRH_01215	1.12e-35	123.0	COG3077@1|root,COG3077@2|Bacteria,1N73E@1224|Proteobacteria,2WGBW@28216|Betaproteobacteria	28216|Betaproteobacteria	L	RelB antitoxin	-	-	-	ko:K07473	-	-	-	-	ko00000,ko02048	-	-	-	RelB
MJ_419_00999	261292.Nit79A3_1497	2.12e-285	815.0	COG3378@1|root,COG3378@2|Bacteria,1QVIS@1224|Proteobacteria,2VPDW@28216|Betaproteobacteria,373RF@32003|Nitrosomonadales	28216|Betaproteobacteria	S	Phage plasmid primase P4 family	-	-	-	ko:K06919	-	-	-	-	ko00000	-	-	-	-
MJ_419_01000	929558.SMGD1_0713	7.11e-20	88.2	COG0243@1|root,COG0243@2|Bacteria,1P01N@1224|Proteobacteria,42MWW@68525|delta/epsilon subdivisions,2YMMH@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	C	Belongs to the prokaryotic molybdopterin-containing oxidoreductase family	-	-	-	-	-	-	-	-	-	-	-	-	Molybdop_Fe4S4,Molybdopterin,Molydop_binding
MJ_419_01001	563040.Saut_1621	7.4e-113	328.0	COG3381@1|root,COG3381@2|Bacteria,1N4MX@1224|Proteobacteria,42RVB@68525|delta/epsilon subdivisions,2YP5X@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	S	component of anaerobic	-	-	-	-	-	-	-	-	-	-	-	-	Nitrate_red_del
MJ_419_01002	563040.Saut_1620	2.32e-163	468.0	COG1143@1|root,COG1145@1|root,COG1143@2|Bacteria,COG1145@2|Bacteria,1N7HT@1224|Proteobacteria,42RFF@68525|delta/epsilon subdivisions,2YP9P@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	C	4Fe-4S binding domain	-	-	-	-	-	-	-	-	-	-	-	-	Fer4
MJ_419_01003	326298.Suden_1492	6.72e-48	166.0	COG0169@1|root,COG0169@2|Bacteria,1Q1X7@1224|Proteobacteria,431CA@68525|delta/epsilon subdivisions,2YSA4@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	E	Involved in the biosynthesis of the chorismate, which leads to the biosynthesis of aromatic amino acids. Catalyzes the reversible NADPH linked reduction of 3-dehydroshikimate (DHSA) to yield shikimate (SA)	-	-	-	-	-	-	-	-	-	-	-	-	Shikimate_dh_N
MJ_419_01004	563040.Saut_1618	5.59e-70	214.0	2994D@1|root,2ZW7V@2|Bacteria,1Q2D1@1224|Proteobacteria,42VGB@68525|delta/epsilon subdivisions,2YQM6@29547|Epsilonproteobacteria	29547|Epsilonproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
